     ALT          P          T          FH2O           FCO2           FH2O          PCO2          FSATUR(ND)
8.3938E+01  7.8440E-06 1.9130E+02    2.5097E-07    5.9975E-03    2.5098E-07    0.0000E+00    5.2384E-02    8.0000E-02
8.2626E+01  9.8410E-06 1.8404E+02    2.5097E-07    5.9975E-03    2.5098E-07    1.8821E-08    9.8461E-03    8.0000E-02
8.1367E+01  1.2325E-05 1.7924E+02    2.5097E-07    5.9975E-03    2.5098E-07    4.2233E-08    3.5109E-03    8.0000E-02
8.0144E+01  1.5410E-05 1.7667E+02    2.5097E-07    5.9975E-03    2.5098E-07    7.1306E-08    1.7916E-03    8.0000E-02
7.8944E+01  1.9234E-05 1.7519E+02    2.5097E-07    5.9975E-03    2.5098E-07    1.0734E-07    1.0944E-03    8.0000E-02
7.7762E+01  2.3965E-05 1.7426E+02    2.5097E-07    5.9975E-03    2.5098E-07    1.5193E-07    7.3628E-04    8.0000E-02
7.6595E+01  2.9808E-05 1.7366E+02    2.5097E-07    5.9975E-03    2.5098E-07    2.0701E-07    5.2532E-04    8.0000E-02
7.5440E+01  3.7013E-05 1.7326E+02    2.5097E-07    5.9975E-03    2.5098E-07    2.7491E-07    3.9143E-04    8.0000E-02
7.4298E+01  4.5881E-05 1.7304E+02    2.5097E-07    5.9975E-03    2.5098E-07    3.5848E-07    3.0209E-04    8.0000E-02
7.3166E+01  5.6774E-05 1.7294E+02    2.5097E-07    5.9975E-03    2.5098E-07    4.6115E-07    2.3959E-04    8.0000E-02
7.2044E+01  7.0134E-05 1.7292E+02    2.5097E-07    5.9975E-03    2.5098E-07    5.8706E-07    1.9376E-04    8.0000E-02
7.0931E+01  8.6489E-05 1.7298E+02    2.5097E-07    5.9975E-03    2.5098E-07    7.4120E-07    1.5896E-04    8.0000E-02
6.9827E+01  1.0647E-04 1.7310E+02    2.5097E-07    5.9975E-03    2.5098E-07    9.2955E-07    1.3230E-04    8.0000E-02
6.8732E+01  1.3085E-04 1.7327E+02    2.5097E-07    5.9975E-03    2.5098E-07    1.1593E-06    1.1167E-04    8.0000E-02
6.7645E+01  1.6053E-04 1.7346E+02    2.5097E-07    5.9975E-03    2.5098E-07    1.4390E-06    9.4781E-05    8.0000E-02
6.6567E+01  1.9661E-04 1.7366E+02    2.5097E-07    5.9975E-03    2.5098E-07    1.7791E-06    8.0644E-05    8.0000E-02
6.5497E+01  2.4038E-04 1.7387E+02    2.5097E-07    5.9975E-03    2.5098E-07    2.1916E-06    6.8726E-05    8.0000E-02
6.4435E+01  2.9339E-04 1.7406E+02    2.5097E-07    5.9975E-03    2.5098E-07    2.6912E-06    5.8613E-05    8.0000E-02
6.3381E+01  3.5748E-04 1.7425E+02    2.5097E-07    5.9975E-03    2.5098E-07    3.2952E-06    4.9964E-05    8.0000E-02
6.2336E+01  4.3481E-04 1.7442E+02    2.5097E-07    5.9975E-03    2.5098E-07    4.0240E-06    4.2535E-05    8.0000E-02
6.1299E+01  5.2797E-04 1.7458E+02    2.5097E-07    5.9975E-03    2.5098E-07    4.9020E-06    3.6162E-05    8.0000E-02
6.0272E+01  6.3998E-04 1.7471E+02    2.5097E-07    5.9975E-03    2.5098E-07    5.9576E-06    3.0678E-05    8.0000E-02
5.9252E+01  7.7442E-04 1.7481E+02    2.5097E-07    5.9975E-03    2.5098E-07    7.2247E-06    2.5878E-05    8.0000E-02
5.8243E+01  9.3549E-04 1.7484E+02    2.5097E-07    5.9975E-03    2.5098E-07    8.7428E-06    2.1580E-05    8.0000E-02
5.7242E+01  1.1281E-03 1.7478E+02    2.5097E-07    5.9975E-03    2.5098E-07    1.0558E-05    1.7699E-05    8.0000E-02
5.6252E+01  1.3581E-03 1.7462E+02    2.5097E-07    5.9975E-03    2.5098E-07    1.2726E-05    1.4240E-05    8.0000E-02
5.5272E+01  1.6321E-03 1.7438E+02    2.5097E-07    5.9975E-03    2.5098E-07    1.5308E-05    1.1263E-05    8.0000E-02
5.4304E+01  1.9581E-03 1.7409E+02    2.5097E-07    5.9975E-03    2.5098E-07    1.8380E-05    8.8224E-06    8.0000E-02
5.3346E+01  2.3451E-03 1.7380E+02    2.5097E-07    5.9975E-03    2.5098E-07    2.2027E-05    6.9208E-06    8.0000E-02
5.2399E+01  2.8037E-03 1.7358E+02    2.5097E-07    5.9975E-03    2.5098E-07    2.6350E-05    5.5146E-06    8.0000E-02
5.1463E+01  3.3463E-03 1.7349E+02    2.5097E-07    5.9975E-03    2.5098E-07    3.1464E-05    4.5307E-06    8.0000E-02
5.0535E+01  3.9871E-03 1.7360E+02    2.5097E-07    5.9975E-03    2.5098E-07    3.7503E-05    3.8832E-06    8.0000E-02
4.9616E+01  4.7423E-03 1.7392E+02    2.5097E-07    5.9975E-03    2.5098E-07    4.4621E-05    3.4872E-06    8.0000E-02
4.8704E+01  5.6310E-03 1.7444E+02    2.5097E-07    5.9975E-03    2.5098E-07    5.2996E-05    3.2687E-06    8.0000E-02
4.7799E+01  6.6747E-03 1.7512E+02    2.5097E-07    5.9975E-03    2.5098E-07    6.2833E-05    3.1698E-06    8.0000E-02
4.6899E+01  7.8982E-03 1.7593E+02    2.5097E-07    5.9975E-03    2.5098E-07    7.4364E-05    3.1495E-06    8.0000E-02
4.6004E+01  9.3300E-03 1.7682E+02    2.5097E-07    5.9975E-03    2.5098E-07    8.7858E-05    3.1815E-06    8.0000E-02
4.5114E+01  1.1002E-02 1.7777E+02    2.5097E-07    5.9975E-03    2.5098E-07    1.0362E-04    3.2492E-06    8.0000E-02
4.4229E+01  1.2952E-02 1.7875E+02    2.5097E-07    5.9975E-03    2.5098E-07    1.2199E-04    3.3410E-06    8.0000E-02
4.3348E+01  1.5221E-02 1.7975E+02    2.5097E-07    5.9975E-03    2.5098E-07    1.4338E-04    3.4447E-06    8.0000E-02
4.2472E+01  1.7857E-02 1.8074E+02    2.5097E-07    5.9975E-03    2.5098E-07    1.6822E-04    3.5440E-06    8.0000E-02
4.1602E+01  2.0913E-02 1.8170E+02    2.5097E-07    5.9975E-03    2.5098E-07    1.9703E-04    3.6217E-06    8.0000E-02
4.0736E+01  2.4451E-02 1.8262E+02    2.5097E-07    5.9975E-03    2.5098E-07    2.3037E-04    3.6682E-06    8.0000E-02
3.9876E+01  2.8537E-02 1.8349E+02    2.5097E-07    5.9975E-03    2.5098E-07    2.6888E-04    3.6860E-06    8.0000E-02
3.9022E+01  3.3250E-02 1.8434E+02    2.5097E-07    5.9975E-03    2.5098E-07    3.1329E-04    3.6882E-06    8.0000E-02
3.8174E+01  3.8674E-02 1.8519E+02    2.5097E-07    5.9975E-03    2.5098E-07    3.6441E-04    3.6897E-06    8.0000E-02
3.7332E+01  4.4905E-02 1.8605E+02    2.5097E-07    5.9975E-03    2.5098E-07    4.2314E-04    3.6999E-06    8.0000E-02
3.6496E+01  5.2051E-02 1.8691E+02    2.5097E-07    5.9975E-03    2.5098E-07    4.9048E-04    3.7207E-06    8.0000E-02
