     ALT          P          T          FH2O           FCO2           FH2O          PCO2          FSATUR(ND)
1.1104E+02  7.9000E-07 1.7813E+02    8.4109E-05    1.2648E-01    8.4576E-05    0.0000E+00    4.8639E-02    8.0000E-01
1.0984E+02  1.0053E-06 1.6463E+02    8.4109E-05    1.2648E-01    8.4576E-05    3.9936E-08    1.3053E-03    8.0000E-01
1.0872E+02  1.2769E-06 1.5700E+02    8.4109E-05    1.2648E-01    8.4576E-05    9.0321E-08    2.2450E-04    8.0000E-01
1.0765E+02  1.6189E-06 1.5467E+02    8.4576E-05    1.2648E-01    8.4576E-05    1.5377E-07    1.0514E-04    8.0000E-01
1.0659E+02  2.0489E-06 1.5492E+02    8.6446E-05    1.2648E-01    8.4576E-05    2.3352E-07    1.0806E-04    8.0000E-01
1.0553E+02  2.5882E-06 1.5629E+02    9.6735E-05    1.2648E-01    8.4576E-05    3.3357E-07    1.2092E-04    8.0000E-01
1.0448E+02  3.2635E-06 1.5738E+02    1.0077E-04    1.2648E-01    8.4576E-05    4.5885E-07    1.2596E-04    8.0000E-01
1.0342E+02  4.1076E-06 1.6058E+02    1.7375E-04    1.2647E-01    8.4576E-05    6.1541E-07    2.1718E-04    8.0000E-01
1.0233E+02  5.1605E-06 1.6897E+02    9.2056E-04    1.2637E-01    8.4576E-05    8.1064E-07    1.1507E-03    8.0000E-01
1.0119E+02  6.4715E-06 1.7541E+02    2.7853E-03    1.2614E-01    8.4576E-05    1.0618E-06    3.4816E-03    8.0000E-01
1.0004E+02  8.1007E-06 1.8015E+02    5.5864E-03    1.2578E-01    8.4576E-05    1.3731E-06    6.9830E-03    8.0000E-01
9.8857E+01  1.0121E-05 1.8390E+02    8.9448E-03    1.2536E-01    8.4576E-05    1.7581E-06    1.1181E-02    8.0000E-01
9.7666E+01  1.2623E-05 1.8707E+02    1.2628E-02    1.2489E-01    8.4576E-05    2.2331E-06    1.5784E-02    8.0000E-01
9.6463E+01  1.5715E-05 1.8990E+02    1.6509E-02    1.2440E-01    8.4576E-05    2.8178E-06    2.0637E-02    8.0000E-01
9.5252E+01  1.9528E-05 1.9249E+02    2.0519E-02    1.2389E-01    8.4576E-05    3.5359E-06    2.5649E-02    8.0000E-01
9.4034E+01  2.4221E-05 1.9492E+02    2.4613E-02    1.2338E-01    8.4576E-05    4.4164E-06    3.0766E-02    8.0000E-01
9.2810E+01  2.9988E-05 1.9723E+02    2.8763E-02    1.2285E-01    8.4576E-05    5.4936E-06    3.5953E-02    8.0000E-01
9.1581E+01  3.7060E-05 1.9946E+02    3.2949E-02    1.2232E-01    8.4576E-05    6.8090E-06    4.1187E-02    8.0000E-01
9.0347E+01  4.5717E-05 2.0163E+02    3.7159E-02    1.2179E-01    8.4576E-05    8.4121E-06    4.6448E-02    8.0000E-01
8.9109E+01  5.6292E-05 2.0374E+02    4.1381E-02    1.2126E-01    8.4576E-05    1.0362E-05    5.1726E-02    8.0000E-01
8.7868E+01  6.9187E-05 2.0582E+02    4.5607E-02    1.2072E-01    8.4576E-05    1.2729E-05    5.7009E-02    8.0000E-01
8.6624E+01  8.4880E-05 2.0786E+02    4.9832E-02    1.2019E-01    8.4576E-05    1.5597E-05    6.2290E-02    8.0000E-01
8.5377E+01  1.0394E-04 2.0988E+02    5.4050E-02    1.1965E-01    8.4576E-05    1.9066E-05    6.7563E-02    8.0000E-01
8.4128E+01  1.2706E-04 2.1188E+02    5.8258E-02    1.1912E-01    8.4576E-05    2.3252E-05    7.2822E-02    8.0000E-01
8.2876E+01  1.5502E-04 2.1387E+02    6.2451E-02    1.1859E-01    8.4576E-05    2.8296E-05    7.8064E-02    8.0000E-01
8.1623E+01  1.8880E-04 2.1584E+02    6.6628E-02    1.1806E-01    8.4576E-05    3.4360E-05    8.3285E-02    8.0000E-01
8.0369E+01  2.2952E-04 2.1780E+02    7.0786E-02    1.1754E-01    8.4576E-05    4.1637E-05    8.8482E-02    8.0000E-01
7.9114E+01  2.7851E-04 2.1975E+02    7.4923E-02    1.1701E-01    8.4576E-05    5.0354E-05    9.3653E-02    8.0000E-01
7.7857E+01  3.3734E-04 2.2170E+02    7.9036E-02    1.1649E-01    8.4576E-05    6.0775E-05    9.8795E-02    8.0000E-01
7.6600E+01  4.0785E-04 2.2364E+02    8.3125E-02    1.1598E-01    8.4576E-05    7.3210E-05    1.0391E-01    8.0000E-01
7.5343E+01  4.9220E-04 2.2558E+02    8.7188E-02    1.1546E-01    8.4576E-05    8.8548E-05    1.0898E-01    8.0000E-01
7.4085E+01  5.9290E-04 2.2752E+02    9.1224E-02    1.1495E-01    8.4576E-05    1.0678E-04    1.1403E-01    8.0000E-01
7.2828E+01  7.1291E-04 2.2945E+02    9.5231E-02    1.1444E-01    8.4576E-05    1.2841E-04    1.1904E-01    8.0000E-01
7.1571E+01  8.5564E-04 2.3139E+02    9.9210E-02    1.1394E-01    8.4576E-05    1.5402E-04    1.2401E-01    8.0000E-01
7.0315E+01  1.0251E-03 2.3332E+02    1.0316E-01    1.1344E-01    8.4576E-05    1.8429E-04    1.2895E-01    8.0000E-01
6.9059E+01  1.2258E-03 2.3526E+02    1.0708E-01    1.1295E-01    8.4576E-05    2.2000E-04    1.3384E-01    8.0000E-01
6.7804E+01  1.4632E-03 2.3719E+02    1.1096E-01    1.1245E-01    8.4576E-05    2.6204E-04    1.3870E-01    8.0000E-01
6.6551E+01  1.7433E-03 2.3913E+02    1.1481E-01    1.1197E-01    8.4576E-05    3.1144E-04    1.4352E-01    8.0000E-01
6.5299E+01  2.0733E-03 2.4106E+02    1.1863E-01    1.1148E-01    8.4576E-05    3.6937E-04    1.4829E-01    8.0000E-01
6.4048E+01  2.4613E-03 2.4300E+02    1.2242E-01    1.1100E-01    8.4576E-05    4.3719E-04    1.5303E-01    8.0000E-01
6.2800E+01  2.9165E-03 2.4494E+02    1.2617E-01    1.1053E-01    8.4576E-05    5.1643E-04    1.5772E-01    8.0000E-01
6.1554E+01  3.4496E-03 2.4688E+02    1.2989E-01    1.1006E-01    8.4576E-05    6.0883E-04    1.6236E-01    8.0000E-01
6.0310E+01  4.0727E-03 2.4883E+02    1.3358E-01    1.0959E-01    8.4576E-05    7.1636E-04    1.6697E-01    8.0000E-01
5.9069E+01  4.7995E-03 2.5077E+02    1.3722E-01    1.0913E-01    8.4576E-05    8.4128E-04    1.7153E-01    8.0000E-01
5.7830E+01  5.6458E-03 2.5272E+02    1.4084E-01    1.0868E-01    8.4576E-05    9.8610E-04    1.7604E-01    8.0000E-01
5.6595E+01  6.6291E-03 2.5467E+02    1.4441E-01    1.0822E-01    8.4576E-05    1.1537E-03    1.8051E-01    8.0000E-01
5.5363E+01  7.7694E-03 2.5662E+02    1.4795E-01    1.0778E-01    8.4576E-05    1.3472E-03    1.8494E-01    8.0000E-01
5.4134E+01  9.0893E-03 2.5857E+02    1.5145E-01    1.0733E-01    8.4576E-05    1.5703E-03    1.8932E-01    8.0000E-01
5.2909E+01  1.0614E-02 2.6052E+02    1.5492E-01    1.0689E-01    8.4576E-05    1.8269E-03    1.9365E-01    8.0000E-01
5.1689E+01  1.2372E-02 2.6247E+02    1.5835E-01    1.0646E-01    8.4576E-05    2.1216E-03    1.9793E-01    8.0000E-01
5.0472E+01  1.4395E-02 2.6443E+02    1.6174E-01    1.0603E-01    8.4576E-05    2.4593E-03    2.0217E-01    8.0000E-01
4.9260E+01  1.6717E-02 2.6638E+02    1.6509E-01    1.0561E-01    8.4576E-05    2.8455E-03    2.0636E-01    8.0000E-01
4.8053E+01  1.9379E-02 2.6834E+02    1.6840E-01    1.0519E-01    8.4576E-05    3.3028E-03    2.1050E-01    8.0000E-01
4.6850E+01  2.2424E-02 2.7029E+02    1.7168E-01    1.0477E-01    8.4576E-05    3.8237E-03    2.1460E-01    8.0000E-01
4.5653E+01  2.5900E-02 2.7224E+02    1.7492E-01    1.0436E-01    8.4576E-05    4.4160E-03    2.1865E-01    8.0000E-01
4.4460E+01  2.9860E-02 2.7437E+02    1.8079E-01    1.0362E-01    8.4576E-05    5.0872E-03    2.2598E-01    8.0000E-01
4.3272E+01  3.4363E-02 2.7660E+02    1.8429E-01    1.0318E-01    8.4576E-05    5.8459E-03    2.3036E-01    8.0000E-01
4.2088E+01  3.9472E-02 2.7885E+02    1.8695E-01    1.0284E-01    8.4576E-05    6.7036E-03    2.3369E-01    8.0000E-01
4.0908E+01  4.5259E-02 2.8110E+02    1.9134E-01    1.0229E-01    8.4576E-05    7.6708E-03    2.3918E-01    8.0000E-01
3.9735E+01  5.1799E-02 2.8336E+02    1.9270E-01    1.0212E-01    8.4576E-05    8.7600E-03    2.4088E-01    8.0000E-01
3.8566E+01  5.9176E-02 2.8562E+02    1.9796E-01    1.0145E-01    8.4576E-05    9.9836E-03    2.4745E-01    8.0000E-01
3.7403E+01  6.7479E-02 2.8788E+02    1.9917E-01    1.0130E-01    8.4576E-05    1.1355E-02    2.4897E-01    8.0000E-01
3.6246E+01  7.6808E-02 2.9017E+02    2.0423E-01    1.0066E-01    8.4576E-05    1.2890E-02    2.5529E-01    8.0000E-01
3.5096E+01  8.7266E-02 2.9244E+02    2.0613E-01    1.0042E-01    8.4576E-05    1.4604E-02    2.5767E-01    8.0000E-01
3.3951E+01  9.8967E-02 2.9473E+02    2.1027E-01    9.9893E-02    8.4576E-05    1.6514E-02    2.6284E-01    8.0000E-01
3.2813E+01  1.1203E-01 2.9701E+02    2.1281E-01    9.9572E-02    8.4576E-05    1.8637E-02    2.6601E-01    8.0000E-01
3.1683E+01  1.2659E-01 2.9931E+02    2.1606E-01    9.9161E-02    8.4576E-05    2.0995E-02    2.7007E-01    8.0000E-01
3.0559E+01  1.4278E-01 3.0160E+02    2.1918E-01    9.8766E-02    8.4576E-05    2.3605E-02    2.7398E-01    8.0000E-01
2.9443E+01  1.6075E-01 3.0390E+02    2.2158E-01    9.8462E-02    8.4576E-05    2.6493E-02    2.7698E-01    8.0000E-01
2.8335E+01  1.8064E-01 3.0619E+02    2.2525E-01    9.7998E-02    8.4576E-05    2.9677E-02    2.8156E-01    8.0000E-01
2.7235E+01  2.0263E-01 3.0849E+02    2.2682E-01    9.7799E-02    8.4576E-05    3.3185E-02    2.8353E-01    8.0000E-01
2.6144E+01  2.2688E-01 3.1079E+02    2.3101E-01    9.7270E-02    8.4576E-05    3.7039E-02    2.8876E-01    8.0000E-01
2.5062E+01  2.5356E-01 3.1305E+02    2.3177E-01    9.7174E-02    8.4576E-05    4.1267E-02    2.8971E-01    8.0000E-01
2.3988E+01  2.8287E-01 3.1531E+02    2.3570E-01    9.6676E-02    8.4576E-05    4.5896E-02    2.9463E-01    8.0000E-01
2.2925E+01  3.1499E-01 3.1754E+02    2.3672E-01    9.6548E-02    8.4576E-05    5.0953E-02    2.9590E-01    8.0000E-01
2.1872E+01  3.5011E-01 3.1977E+02    2.3958E-01    9.6186E-02    8.4576E-05    5.6469E-02    2.9947E-01    8.0000E-01
