
    OUTPUT FILES FOR THE Sun  

 Solar Constant= 1.000   F_CH4= 9.8425E-61  F_CO2= 1.3935E-04  F_O2= 0.0000E+00  F_N2= 4.3744E-01  F_H2= 0.0000E+00  F_AR= 0.0000E+00  IO3 =  0   IUP=  1
 ICONSERV= 0  FAC= 4.0  ND=101  SRFALB= 0.315  G= 980.0  IMW= 6  INVERSE= 0

 FNO2 = 0.000E+00

 NST=     1 JCONV= 78 CHG=1.74E-02 dt0=5.00E+03 DIVF(1)=-1.18E-01 DIVFrms= 1.12E-01 DT(ND)=-3.54E+00 T(ND)=2.9646E+02 FSATUR(ND)= 1.58E-02

 TIME= 5.000E+03  TIME IN DAYS = 5.787E-02

 PLANETARY ALBEDO:  ALBP = 0.2952

  J     P         ALT         T        CONVEC       DT          TOLD        FH20       FSAVE        FO3        TCOOL       THEAT        OMEGA
 28 2.4096E-04 5.7057E+01 1.9979E+02  0.00E+00  -2.0531E-01  2.0000E+02  6.5230E-07  1.1142E-06  0.0000E+00 -3.9152E+00  3.6748E-01  1.0000E+00
 29 2.9051E-04 5.5912E+01 1.9981E+02  0.00E+00  -1.8789E-01  2.0000E+02  6.5230E-07  1.1142E-06  0.0000E+00 -3.5890E+00  3.4226E-01  1.0000E+00
 30 3.4962E-04 5.4778E+01 1.9983E+02  0.00E+00  -1.7297E-01  2.0000E+02  6.5230E-07  1.1142E-06  0.0000E+00 -3.3236E+00  3.3465E-01  1.0000E+00
 31 4.2001E-04 5.3655E+01 1.9984E+02  0.00E+00  -1.6044E-01  2.0000E+02  6.5230E-07  1.1142E-06  0.0000E+00 -3.1105E+00  3.3808E-01  1.0000E+00
 32 5.0367E-04 5.2544E+01 1.9985E+02  0.00E+00  -1.4983E-01  2.0000E+02  6.5230E-07  1.1142E-06  0.0000E+00 -2.9361E+00  3.4703E-01  1.0000E+00
 33 6.0293E-04 5.1443E+01 1.9986E+02  0.00E+00  -1.4047E-01  2.0000E+02  6.5230E-07  1.1142E-06  0.0000E+00 -2.7850E+00  3.5758E-01  1.0000E+00
 34 7.2045E-04 5.0354E+01 1.9987E+02  0.00E+00  -1.3183E-01  2.0000E+02  6.5230E-07  1.1142E-06  0.0000E+00 -2.6453E+00  3.6734E-01  1.0000E+00
 35 8.5935E-04 4.9277E+01 1.9988E+02  0.00E+00  -1.2360E-01  2.0000E+02  6.5230E-07  1.1142E-06  0.0000E+00 -2.5108E+00  3.7499E-01  1.0000E+00
 36 1.0232E-03 4.8210E+01 1.9989E+02  0.00E+00  -1.1414E-01  2.0000E+02  6.5230E-07  1.1142E-06  0.0000E+00 -2.3534E+00  3.8109E-01  1.0000E+00
 37 1.2161E-03 4.7155E+01 1.9990E+02  0.00E+00  -9.6065E-02  2.0000E+02  6.5230E-07  1.1142E-06  0.0000E+00 -2.0516E+00  3.9159E-01  1.0000E+00
 38 1.4428E-03 4.6110E+01 1.9992E+02  0.00E+00  -8.1266E-02  2.0000E+02  6.5230E-07  1.1142E-06  0.0000E+00 -1.8003E+00  3.9600E-01  1.0000E+00
 39 1.7088E-03 4.5077E+01 1.9993E+02  0.00E+00  -6.9310E-02  2.0000E+02  6.5230E-07  1.1142E-06  0.0000E+00 -1.5915E+00  3.9378E-01  1.0000E+00
 40 2.0201E-03 4.4055E+01 1.9994E+02  0.00E+00  -5.9792E-02  2.0000E+02  6.5230E-07  1.1142E-06  0.0000E+00 -1.4184E+00  3.8524E-01  1.0000E+00
 41 2.3839E-03 4.3044E+01 1.9995E+02  0.00E+00  -5.2306E-02  2.0000E+02  6.5230E-07  1.1142E-06  0.0000E+00 -1.2761E+00  3.7223E-01  1.0000E+00
 42 2.8082E-03 4.2045E+01 1.9995E+02  0.00E+00  -4.6481E-02  2.0000E+02  6.5230E-07  1.1142E-06  0.0000E+00 -1.1613E+00  3.5810E-01  1.0000E+00
 43 3.3022E-03 4.1056E+01 1.9996E+02  0.00E+00  -4.1968E-02  2.0000E+02  6.5230E-07  1.1142E-06  0.0000E+00 -1.0716E+00  3.4641E-01  1.0000E+00
